Sigla;Nome;Estrato;Indice.H;ISSN
EGC;European Grid Conference;B2;21;
EGSR;Eurographics Symposium on Rendering;B1;34;
EGVE;Eurographics Workshop on Virtual Environments;B4;10;
EICS;The ACM SIGCHI Symposium on Engineering Interactive Computing Systems;B1;30;
EISWT;International Conference on Enterprise Information Systems and Web Technologies;B4;4;
EIT;IEEE International Conference on Electro/Information Technology;B4;6;
EJC;European'Japanese Conference on Information Modelling and Knowledge Bases;B4;4;
EKAW;International Conference on Knowledge Engineering and Knowledge Management;B1;33;
EKNOW;International Conference on Information, Process, and Knowledge Management;B4;5;
ELAVIO;Latin American Operations Research Summer School;B5;2;
ELC;Encontro de Linguística de Corpus;B5;2;
ELearn;World Conference on E'Learning in Corporate, Government, Healthcare & Higher Education;B3;15;
ELML;International Conference on Mobile, Hybrid, and On'line Learning;B4;5;
EMBC;International Conference of the IEEE Engineering in Medicine and Biology Society;B1;26;
EMicro;South Microelectronics School;B5;2;
EMMSAD;Exploring Modelling Methods in Systems Analysis and Design;B4;7;
Emnets;Workshop on Embedded Networked Sensors;B2;16;
EMNLP;Conference on Empirical Methods in Natural Language Processing;A1;72;
EMO;International Conference on Evolutionary Multi'Criterion Optimization;A2;40;
EMS;EMS Network Conference;B5;1;
EMSOFT;ACM Conference on Embedded Software;A2;42;
ENADI;Encontro de Administração da Informação;B5;3;
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B4;7;
Engopt;International Conference on Engineering Optimization;B4;5;
ENIA;Encontro Nacional de Intelig;B4;8;
ENLG;European Workshop on Natural Language Generation;B4;4;
ENRI;Encontro de Robótica Inteligente;B4;5;
ENTER;International Conference on Information and Communication Technologies in Tourism;B2;17;
EOMAS;Enterprise and Organizational Modeling and Simulation;B5;3;
EON;Workshop on Evaluation of Ontology'based Tools;B3;12;
ePart;International Conference on Electronic Participation;B4;6;
EPIA;Portuguese Conference on Artiificial Intelligence/Encontro Português de Inteligência Artificial;B2;19;
EPIO;Escuela de Perfeccionamiento en Investigación Operativa;B5;1;
EpiRob;International Conference on Epigenetic Robotics;B4;6;
ER;International Conference on Conceptual Modeling;A2;42;
ERAD;Escola Regional de Alto Desempenho;B5;1;
ERSA;International Conference on Engineering of Reconfigurable Systems and Algorithms;B3;15;
ESA;European Symposium on Algorithms;A2;46;
ESAIR;Exploiting Semantic Annotations in Information Retrieval;B4;4;
ESANN;European Symposium on Artificial Neural Networks;B1;27;
ESAW;International Workshop on Engineering Societies in the Agents World;B3;13;
eScience;IEEE International Conference on e'science and Grid Computing;B1;22;
ESEC/FSE;European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering;A2;49;
ESELAW;Experimental Software Engineering Latin American Workshop;B4;4;
ESEM;International Symposium on Empirical Software Engineering and Measurement;A2;44;
ESM;European Simulation Multiconference;B2;16;
ESOP;European Symposium on Programming ETAPS);A2;53;
ESORICS;European Symposium on Research in Computer Security;A2;45;
ESS;European Simulation Symposium;B3;12;
ESSCIRC;European Solid'State Circuits Conference;B1;33;
ESSDERC;European Solid'State Device Research Conference;B3;12;
ESTIMedia;IEEE Workshop on Embedded Systems for Real'Time Multimedia;B3;13;
ESWC;European Semantic Web Conference;A1;57;
ETCS;IEEE International Workshop on Education Technology and Computer Science;B4;8;
ETELEMED;International Conference on eHealth, Telemedicine, and Social Medicine;B4;7;
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;B1;26;
ETHICOMP;International Conference on the Social and Ethical Impacts of Information and Communication Technologies;B4;6;
ETRA;Eye Tracking Research and Applications;B5;3;
ETS;IEEE European Test Symposium;B2;18;
EUC;IFIP International Conference on Embedded and Ubiquitous Computing;B2;20;
EUMAS;European Workshop on Multi'Agent Systems;B3;14;
EURO;European Conference on Operational Research;B4;4;
Euro'Par;European Conference on Parallel Computing;A2;43;
Euro'Plop;European Conference on Pattern Languages of Programs;B2;16;
EuroBot;European Workshop on Advanced Mobile Robots;B3;3;
EUROCAST;International Workshop on Computer Aided Systems Theory;B3;13;
EuroCG;European Workshop on Computational Geometry;B4;10;
EUROCOMB;European Conference on Combinatorics Graph Theory and Applications;B5;1;
EUROCON;"The International Conference on ""Computer as a Tool""";B3;12;
EuroCrypt;International Conference on the Theory and Application of Cryptographic Techniques;A1;97;
EuroGP;European Conference on Genetic Programming;B1;35;
EUROGRAPHICS;Eurographics Annual Conference of the European Association for Computer Graphics;A2;5;
EuroIMSA;IASTED International Conference on Internet and Multimedia Systems and Applications;B4;9;
EuroITV;European Interactive TV Conference;B3;14;
EuroMPI;European MPI Users Group Conference;B1;27;
EUROPKI;European Public Key Infrastructure Workshop;B2;16;
EUROPT;Workshop on Advances in Continuous Optimization;B5;2;
EuroSPI;European Conference on Software Process Improvement;B2;20;
EuroSys;European Conference on Computer Systems;A2;47;
EuroVis;Eurographics/IEEE'VGTC Symposium on Visualization;B1;23;
EUSIPCO;European Signal Processing Conference;B1;23;
Evoapplications;European Conference on the Applications of Evolutionary Computation;B5;2;
Evobio;European Conference on Evolutionary Computation, Machine Learning and Data Mining in Computational Biology;B3;11;
EvoCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;B2;20;
EWME;European Workshop on Microelectronics Education;B4;5;
EWSN;European conference on Wireless Sensor Networks;A2;37;
FAABS;IEEE Workshop on Formal Approaches to Agent'Based Systems;B2;18;
FASE;Fundamental Approaches to Software Engineering;A2;42;
FAST;USENIX Conference on File and Storage Technologies;A1;55;
FC;Financial Cryptography;B1;36;
FCCM;IEEE Symposium on Field'Programmable Custom Computing Machines;A2;46;
FCS;International Conference on Foundations of Computer Science;B4;5;
FCT;International Symposium on Fundamentals of Computation Theory;B2;18;
FDG;Foundations of Digital Games;B3;11;
FDL;Forum on Specification and Design Languages;B3;15;
FDTC;Workshop on Fault Diagnosis and Tolerance in Cryptography;B2;17;
FECS;International Conference on Frontiers in Education: Computer Science and Computer Engineering;B4;5;
FedCSIS;Federated Conference on Computer Science and Information Systems;B5;3;
FEF;The Finite Elements in Flow Problems Conference;B5;2;
FG;International Conference on Automatic Face and Gesture Recognition;A1;70;
FGCN;International Conference on Future Generation Communication and Networking;B3;13;
FGIT;Future Generation Information Technology;B4;5;
FIE;IEEE Frontiers in Education Conference;B1;24;
FIND;Dynamic Taxonomies and Faceted Search;B5;1;
FINTDI;Promotion and Innovation with New Technologies in Engineering Education;B5;1;
FIT;Frontiers of Information Technology;B4;5;
FLAIRS;Florida Artificial Intelligence Research Society;B1;25;
FLINS;International FLINS Conference on Uncertainty Modeling in Knowledge Engineering and Decision Making;B4;7;
FLOPS;International Symposium on Functional and Logic Programming;B1;22;
FM;International Symposium on Formal Methods;B1;35;
FMCAD;Formal Methods in Computer Aided Design;B1;33;
FMICS;International Workshop on Formal Methods for Industrial Critical Systems;B4;9;
FMN;Future Multimedia Networking;B4;4;
FMOODS;International Conference on Formal Methods for Open Object'Based Distributed Systems;B1;28;
FOAL;Foundations of Aspect'Oriented Languages Workshop;B2;18;
FOCI;IEEE Symposium on Foundations of Computational Intelligence;B3;15;
FOCS;IEEE Symposium on Foundations of Computer Science;A1;94;
FOGA;Foundations of Genetic Algorithms;B3;13;
FoIKS;International Symposium on Foundations on Information and Knowledge Systems;B2;18;
FOIS;International Conference on Formal Ontology in Information Systems;B1;25;
FOMI;Formal Ontologies Meet Industry;B4;6;
FOOL;International Workshop on Foundations of Object'Oriented Languages;B3;7;
FORMATS;International Conference on Formal Modelling and Analysis of Timed Systems;B1;22;
FORTE;IFIP WG 6.1 International Conference on Formal Methods for Networked and Distributed Systems;B1;29;
FOSSACS;Foundations of Software Science and Computation Structures Conference;A2;37;
FPGA;ACM/SIGDA International Symposium on Field'Programmable Gate Arrays;A2;53;
FPL;International Conference on Field'Programmable Logic and Applications;A2;50;
FPSAC;International Conference on Formal Power Series and Algebraic Combinatorics;B4;9;
FQAS;International Conference on Flexible Query Answering Systems;B2;17;
FroCoS;International Symposium on Frontiers of Combining Systems;B3;1;
FSE;Fast Software Encryption Workshop;A2;46;
FSE_A;ACM SIGSOFT Conference on the Foundations of Software Engineering;A1;59;
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;B2;18;
FSR;International Symposium on Field and Service Robotics;B4;4;
FSTTCS;IARCS Conference on Foundations of Software Technology and Theoretical Computer Science;B1;33;
FTFC;IEEE Faible Tension Faible Consommation;B5;2;
FTJP;Workshop on Formal Techniques for Java Programs;B4;8;
FTP;International Workshops on First'Order Theorem Proving;B4;5;
FTRTFT;Formal Techniques in Real'Time and Fault Tolerant Systems;B2;20;
FUSION;International Conference on Information Fusion;B1;25;
FUZZ;IEEE International Conference on Fuzzy Systems;A2;38;
GADA;International Conference on Grid computing High'performance and Distributed Applications;B5;1;
GAME'ON;European GAME'ON Conference;B3;9;
GCA;International Conference on Grid Computing and Applications;B4;8;
GCC;International Conference on Grid and Cooperative Computing;B2;18;
GD;International Symposium on Graph Drawing;B2;18;
GDC;Game Developers Conference;B1;22;
GECCO;Genetic and Evolutionary Computation Conference;A1;66;
GECON;Grid Economics and Business Models;B3;12;
GEFS;International Workshop on Genetic and Evolving Fuzzy Systems;B4;7;
GENSIPS;IEEE International Workshop on Genomic Signal Processing and Statistics;B4;8;
GeoComp;International Conference on GeoComputation;B3;13;
GeoInfo;Simpósio Brasileiro de Geoinformática;B3;14;
GEOPROCESSING;International Conference on Advanced Geographic Information Systems, Applications, and Services;B4;4;
GeoS;International Conference on Geospatial Semantics;B3;14;
GI;Graphics Interface;A2;51;
GIIS;IEEE International Global Information Infrastructure Symposium;B4;8;
GIR;Workshop on Geographic Information Retrieval;B2;19;
GIS;International Symposium on Advances in Geographic Information Systems;B1;33;
GIScience;International Conference on Geographic Information Science;B1;23;
Globe;Conference on Data Management in Grid and P2P Systems;B4;5;
GLOBECOM;IEEE Global Telecommunications Conference;A1;90;
GLSVLSI;ACM Great Lakes Symposium on VLSI;B1;28;
GMP;Geometry Modeling and Processing Conference;B2;18;
GOW;Global Optimization Workshop;B5;2;
GPC;Advances in Grid and Pervasive Computing;B3;12;
GPCE;International Conference on Generative Programming and Component Engineering;A2;37;
GRAPP;International Conference on Computer Graphics Theory and Applications;B4;9;
GREC;IAPR International Workshop on Graphics Recognition;B3;1;
GREENCOM;Green Computing and Communications;B4;6;
GREENCOM'CPSCOM;IEEE'ACM International Conference on Green Computing and Communications and International Conference on Cyber Physical and Social Computing;B4;6;
GRID;IEEE/ACM International Conference on Grid Computing;A2;46;
GROUP;International Conference on Supporting Group Work;A2;45;
GSD;International Workshop on Global Software Development for the Practitioner;B3;14;
GSDI;International Conference for Global Spatial Data Infrastructure;B4;9;
GWC;International Global Wordnet Conference;B3;14;
HAIS;International Conference on Hybrid Artificial Intelligence Systems;B4;9;
HAPTICS;International Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems;B1;28;
HASE;IEEE International Symposium on High Assurance Systems Engineering;B1;22;
HASKELL;Haskell Workshop;B1;22;
HC;Humans and Computers;B5;3;
HCII;International Conference on Human'Computer Interaction;B2;17;
HCS;IEEE Hot Chips Symposium;B4;7;
HealthCom;International Workshop on Enterprise Networking and Computing in Health Care Industry;B4;10;
HEALTHINF;International Conference on Health Informatics;B4;7;
HIC;Health Informatics Conference;B4;8;
HICSS;Annual Hawaii International Conference on System Sciences;A1;97;
HIKM;Healthcare Information and Knowledge Management;B4;6;
HiPC;International Conference on High Performance Computing;B1;25;
HiPEAC;International Conference on High'Performance and Embedded Architectures and Compilers;B2;17;
HIPS;International Workshop on High'Level Programming Models and Supportive Environments;B4;10;
HIS;International Conference on Hybrid Intelligent Systems;B2;18;
HLDVT;IEEE International High Level Design Validation and Test Workshop;B3;6;
HLT;Human Language Technology Conference;A1;78;
HM;International Workshop on Hybrid Metaheuristics;B3;15;
HoloMAS;Holonic and Multi'Agent Systems for Manufacturing;B2;17;
HOPL;History of Programming Languages Conference;B5;2;
HOST;Hardware'Oriented Security and Trust HOST), IEEE International Workshop on;B3;14;
Hot'P2P;International Workshop on Hot Topics in Peer'to'Peer Systems;B4;8;
HOTI;IEEE Symposium on High'Performance Interconnects;B1;23;
HotInterconnect;Symposium on High'Performance Interconnects;B2;21;
HotMobile;Workshop on Mobile Computing Systems and Applications;B2;18;
HOTNETS;Workshop on Hot Topics in Networks;B3;15;
HotOS;USENIX Workshop on Hot Topics in Operating Systems;A2;44;
HPCA;International Symposium on High'Performance Computer Architecture;A1;73;
HPCN;International Conference on High Performance Computing and Networking;B3;14;
HPCS;International Symposium on High Performance Computing Systems and Applications;B3;15;
HPDC;IEEE International Symposium on High Performance Distributed Computing;A1;62;
HRI;IEEE/ACM International Conference on Human Robot Interaction;A2;38;
Humanoids;IEEE RAS International Conference on Humanoids Robots;B2;17;
HVC;International Haifa Verification Conference;B4;5;
Hypertext;ACM Conference on Hypertext and Hypermedia;A2;45;
I;IADIS International Conference Informatics;B5;3;
I&CPS;IEEE Industrial and Commercial Power Systems Technical Conference ' Conference Record;B4;10;
I'KNOW;International Conference on Knowledge Management and Knowledge Technologies;B5;3;
I'SEMANTICS;International Conference on Semantic Systems;B3;11;
I'SPAN;International Symposium on Parallel Architectures Algorithms and Networks;B1;22;
I2TS;Information and Telecommunication Technologies;B4;6;
I3D;ACM Symposium on Interactive 3D Graphics and Games;A2;50;
I3E;IFIP Conference on e'Commerce e'Business and e'Government;B3;12;
IAAI;Conference on Innovative Applications in Artificial Intelligence;B2;14;
IAIM;Annual Conference of the International Academy for Information Management;B5;3;
IAIT;International Conference on Advances in Information Technology;B5;3;
IAS;IEEE Industry Applications Society Annual Conference;B1;16;
IAT;ACM International Conference on Intelligent Agent Technology;B1;25;
IAW;Annual IEEE Information Assurance Workshop;B1;34;
IAWTIC;International Conference on Intelligent Agents Web Technologies and Internet Commerce;B4;3;
IBERAMIA;Ibero'American Artificial Intelligence Conference;B2;16;
IBERCHIP;Workshop Iberchip;B4;6;
IBICA;International Conference on Innovations in Bio'inspired Computing and Applications;B5;1;
IBIMA;International Business Information Management;B4;6;
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;B4;8;
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;B3;10;
ICAART;International Conference on Agents and Artificial Intelligence;B4;8;
ICAC;IEEE International Conference on Autonomic Computing;A2;43;
ICAD;International Conference on Auditory Display;B1;28;
ICAI;International Conference on Artificial Intelligence;B2;16;
ICAIE;International Conference on Artificial Intelligence and Education;B5;2;
ICAIL;International Conference on Artificial Intelligence and Law;B1;26;
ICAIS;International Conference on Adaptive and Intelligent Systems;B3;11;
ICAISC;International Conference on Artifical Intelligence and Soft Computing;B2;17;
ICAL;IEEE International Conference on Automation and Logistics;B4;9;
ICALIP;International Conference on Audio, Language and Image Processing;B4;9;
ICALP;International Colloquium on Automata Languages and Programming;A1;61;
ICALT;IEEE International Conference on Advanced Learning Technologies;B1;35;
ICANN;International Conference on Artificial Neural Networks;B1;30;
ICAPS;International Conference on Automated Planning and Scheduling;A2;49;
ICAR;International Conference on Advanced Robotics;B2;21;
ICARCV;International Conference on Control, Automation, Robotics and Vision;B1;23;
ICAS;International Conference on Autonomic and Autonomous Systems;B2;17;
ICASSP;International Conference on Acoustics, Speech, and Signal Processing;A1;84;
ICAT;International Conference on Artificial Reality and Telexistence;B3;14;
ICATPN;International Conference on the Application and Theory of Petri Nets;B1;36;
ICB;International Conference on Biometrics;B2;21;
ICBAKE;International Conference on Biometrics and Kansei Engineering;B4;5;
ICBBE;International Conference on Bioinformatics and Biomedical Engineering;B4;10;
ICC;IEEE International Conference on Communications;A2;53;
ICCABS;IEEE International Conference on Computational Advances in Bio and Medical Sciences;B5;3;
ICCAD;International Conference on Computer'Aided Design;A1;75;
ICCAS;International Conference on Control Automation and Systems;B4;8;
ICCBR;International Conference on Case'Based Reasoning;B4;4;
ICCBSS;IEEE International Conference on COTS'Based Software Systems;B2;20;
ICCC;International Conference on Computer Communication;B4;7;
ICCCAS;International Conference on Communications, Circuits and Systems;B4;10;
ICCCN;International Conference on Computer Communications and Networks;B1;34;
ICCD;International Conference on Computer Design;A2;41;
ICCDCS;International Caribbean Conference on Devices, Circuits and Systems;B4;10;
ICCE;International Conference on Computers in Education;B2;18;
ICCI;International Conference on Computing and Information;B4;1;
ICCIIS;International Conference on Communications and Intelligence Information Security;B5;3;
ICCIMA;International Conference on Computational Intelligence and Multimedia Applications;B2;18;
ICCI_A;IEEE International Conference on Cognitive Informatics;B2;18;
ICCL;IEEE International Conference on Computer Languages;B5;2;
ICCMS;International Conference on Computer Modeling and Simulation;B4;6;
ICCOPT;International Conference on Continuous Optimization;B5;1;
ICCS;International Conference on Computational Science;A2;37;
ICCSA;International Conference on Computational Science and its Applications;B1;27;
ICCSE;International Conference on Computer Science & Education;B4;6;
ICCST;Annual International Carnahan Conference on Security Technology;B4;8;
ICCS_A;International Conference on Conceptual Structures;B1;28;
ICCTA;International Conference on Computing: Theory and Applications;B3;11;
ICCV;IEEE International Conference on Computer Vision;A1;120;
ICDAR;IEEE International Conference on Document Analysis and Recognition;A2;48;
ICDCIT;International Conference on Distributed Computing and Internet Technology;B4;10;
ICDCN;IEEE International Conference on Distributed Computing and Networking;B4;10;
ICDCS;IEEE International Conference on Distributed Computing Systems;A1;78;
ICDE;IEEE International Conference on Data Engineering;A1;113;
ICDE_A;World Conference on Open Learning and Distance Education;B5;2;
ICDF;IFIP WG 11.9 International Conference on Digital Forensics;B5;1;
ICDIM;International Conference on Digital Information Management;B3;11;
ICDL;IEEE International Conference on Development and Learning;B3;15;
ICDL'EpiRob;IEEE Conference on Development and Learning and Epigenetic Robotics;B2;19;
ICDLE;International Conference on Distance Learning and Education;B5;1;
ICDM;IEEE International Conference on Data Mining;A1;77;
ICDS;International Conference on Digital Society;B3;11;
ICDT;International Conference on Database Theory;B1;27;
ICDVRAT;International Conference on Disability, Virtual Reality and Associated Technologies;B5;1;
ICE'B;International Conference on e'Business;B4;7;
ICEB;International Conference on Electronic Business;B4;6;
ICEBE;IEEE International Conference on e'Business Engineering;B2;20;
ICEC;International Conference on Electronic Commerce;B1;34;
ICECCS;IEEE International Conference on Engineering of Complex Computer Systems;B1;24;
ICECE;International Conference on Engineering and Computer Education;B4;5;
ICECS;IEEE International Conference on Electronics: Circuits and Systems;B1;24;
ICEC_A;IFIP International Conference on Entertainment Computing;B5;3;
ICEE;International Conference on Engineering Education;B2;16;
ICEIMT;International Confernce on Enterprise Integration and Modelling Technology;B4;7;
ICEIS;International Conference on Enterprise Information Systems;B1;24;
ICEIT;International Conference on Educational and Information Technology;B5;3;
ICELET;International Conference on E'Learning and E'Teaching;B5;2;
ICEMT;International Conference on Education and Management Technology;B5;3;
ICER;International Computing Education Research Workshop;B4;7;
ICETC;International Conference on Education Technology and Computer;B4;6;
ICETE;International Conference on E'Business and Telecommunication Networks;B4;5;
ICFCA;International Conference on Formal Concept Analysis;B2;20;
ICFCSE;International Conference on Future Computer Science and Education;B5;1;
ICFEM;International Conference on Formal Engineering Methods;B1;27;
ICFP;International Conference on Functional Programming;A2;53;
ICGEC;International Conference on Genetic and Evolutionary Computing;B5;3;
ICGeS;International Conference on Global E'Security;B5;2;
ICGSE;IEEE International Conference on Global Software Engineering;B2;20;
ICGT;International Conference on Graph Transformation;B1;25;
ICHIT;International Conference on Hybrid Information Technology;B2;16;
ICHL;International Conference on Hybrid Learning and Education;B4;6;
ICIAM;International Congress on Industrial and Applied Mathematics;B4;3;
ICIAP;International Conference on Image Analysis and Processing;B1;25;
ICIAS;International Conference on Intelligent and Advanced Systems;B4;9;
ICICA;International Conference on Information Computing and Applications;B5;2;
ICICS;International Conference on Information and Communication Security;B1;33;
ICIDS;International Conference on Interactive Digital Storytelling;B3;13;
ICIG;International Conference on Image and Graphics;B3;13;
ICINCO;International Conference on Informatics in Control Automation and Robotics;B4;10;
ICIP;IEEE International Conference on Image Processing;A1;69;
ICIQ;International Conference on Information Quality;B1;22;
ICIRA;International Conference on Intelligent Robotics and Applications;B4;8;
ICIS;International Conference on Information Systems;A2;47;
ICISO;International Conference on Informatics and Semiotics in Organisations;B5;1;
ICISS;International Conference on Information Systems Security;B3;13;
ICIS_A;IEEE/ACIS International Conference on Computer and Information Science;B2;20;
ICIT;IEEE International Conference on Industrial Technology;B3;11;
ICITA;International Conference on Information Technology and Applications;B2;18;
ICITS;International Conference on Intelligent Tutoring Systems;A2;44;
ICIW;International Conference on Internet and Web Applications and Services;B3;15;
ICL;International Conference on Interactive Collaborative Learning;B5;2;
ICLP;International Conference on Logic Programming;B1;35;
ICLS;International Conference of the Learning Sciences;B1;24;
ICMA;International Conference on Manufacturing Automation;B5;2;
ICMC;International Computer Music Conference;B1;32;
ICMCS;IEEE International Conference on Multimedia Computing and Systems;B3;6;
ICME;IEEE International Conference on Multimedia and Expo;A1;66;
ICMI;International Conference on Multimodal Interfaces;A2;46;
ICMIC;International Conference on Modelling, Identification and Control;B5;3;
ICML;International Conference on Machine Learning;A1;124;
ICMLA;International Conference on Machine Learning and Applications;B2;17;
ICMLC;International Conference on Machine Learning and Cybernetics;B4;6;
ICMPC;International Conference of Music Perception and Cognition;B4;9;
ICMR;ACM International Conference on Multimedia Retrieval;A2;51;
ICMSAO;International Conferecen on Modeling, Simulation and Applied Optimization;B5;3;
ICMT;International Conference on Model Transformation;B2;17;
ICMTS;IEEE International Conference on Microelectronics Test Structures;B3;14;
ICN;International Conference on Networking;B1;24;
ICNC;International Conference on Natural Computation;B4;5;
ICNCC;International Conference on Network Communication and Computer;B5;1;
ICNP;IEEE International Conference on Network Protocols;A1;65;
ICNS;International conference on Networking and Services;B3;14;
ICNSC;IEEE Intl Networking, Sensing and Control;B3;12;
ICoFCS;International Conference on Forensic Computer Science;B5;2;
ICOIN;International Conference on Information Networking;B1;22;
ICOMP;International Conference on Internet Computing;B2;20;
ICON;IEEE International Conference on Networks;B3;10;
ICONIP;International Conference on Neural Information Processing;B1;23;
ICONS;International Conference on Systems;B3;12;
ICORD;International Conference on Operational Research for Development;B5;1;
ICORE;International Conference on Reputation;B4;4;
ICOTA;International Conference on Optimization: Techniques And Applications;B5;3;
ICPADS;International Conference on Parallel and Distributed Systems;B1;28;
ICPC;IEEE International Conference on Program Comprehension;A2;41;
ICPP;International Conference on Parallel Processing;A2;42;
ICPR;International Conference on Pattern Recognition;A1;81;
ICPS;IEEE/ACS International Conference on Pervasive Services;B2;20;
ICRA;IEEE International Conference on Robotics and Automation;A1;116;
ICS;ACM International Conference on Supercomputing;A2;52;
ICSC;IEEE International Conference on Semantic Computing;B2;21;
ICSC_A;International Computer Science Conference;B2;16;
ICSE;ACM/IEEE International Conference on Software Engineering;A1;117;
ICSEA;International Conference on Software Engineering Advances;B3;13;
ICSM;IEEE International Conference on Software Maintenance;A2;53;
ICSMA;International Conference on Smart Manufacturing Application;B4;7;
ICSNC;International Conference on Systems and Networks Communication;B3;13;
ICSOB;International Conference on Software Business;B5;3;
ICSOC;International Conference on Service Oriented Computing;A2;47;
ICSOFT;International Conference on Software and Data Technologies;B4;10;
ICSP;International Conference on Stochastic Programming;B3;12;
ICSR;IEEE International Conference on Software Reuse;B1;23;
ICSSEA;International Conference on Software and Systems Engineering and their Applications;B4;5;
ICSSP;International Conference on on Software and Systems Process;B5;3;
ICST;International Conference on Software Testing, Verification and Validation;B2;21;
ICSTW;IEEE International Conference on Software Testing Verification and Validation Workshop;B3;14;
ICT;International Conference on Telecommunications;B2;17;
ICTAC;International Colloquium on Theoretical Aspects of Computing;B3;15;
ICTAI;IEEE International Conference on Tools with Artificial Intelligence;A2;38;
ICTEL;International Conference on Technology'Enhanced Learning;B5;3;
ICTERI;International Conference on ICT in Education, Research, and Industrial Applications;B5;1;
ICTL;International Conferece on Temporal Logic;B5;3;
ICTON;International Conference on Transparent Optical Networks;B4;9;
ICTSS;IFIP International Conference on Testing Software and Systems;B1;24;
ICUIMC;International Conference on Ubiquitous Information Management and Communication;B4;10;
ICUMT;Ultra Modern Telecommunications;B4;10;
ICVES;IEEE International Conference on Vehicular Electronics and Safety;B4;8;
ICVS;International Conference on Computer Vision Systems;B1;26;
ICVS_A;International Conference on Virtual Storytelling;B2;16;
ICWE;International Conference on Web Engineering;B1;28;
ICWET;International Conference & Workshop on Emerging Trends in Technology;B4;5;
ICWI;International Conference WWW/Internet;B2;16;
ICWL;International Conference on Web'based Learning;B3;14;
ICWMC;International Conference on Wireless and Mobile Communications;B3;14;
ICWN;International Conference on Wireless Networks;B2;17;
ICWS;IEEE International Conference on Web Services;A1;58;
ICWSM;AAAI International Conference on Weblogs and Social Media;B1;26;
IDA;International Symposium on Intelligent Data Analysis;B2;21;
IDAACS;Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications;B4;9;
IDC;International Conference on Interaction Design and Children;B2;16;
IDC_A;IEEE Conference on Information Decision and Control;B4;9;
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;B2;20;
IDEAS_A;International Database Engineering and Applications Symposium;B1;28;
IE;International Conference on Intelligent Environments;B4;5;
IECON;Annual Conference of the IEEE Industrial Electronics Society;B1;36;
IEEEIS;IEEE Conference On Intelligent Systems;B1;22;
IEEEIT;IEEE Symposium on Information Theory;A1;63;
IEEERFID;IEEE IEEE International Conference on RFID;B3;12;
IESA;International Conference on Interoperability for Enterprise Software and Applications;B3;11;
IESS;International Conference on Exploring Services Science;B4;5;
IESS_A;International Embedded Systems Symposium;B5;1;
IFAC;Triennial Event of International Federation of Automatic Control;B2;12;
IFIPAI;IFIP Artificial Intelligence;B5;3;
IFL;International Symposium on Implementation and Application of Functional Languages;B3;2;
IFM;International Conference on Integrated Formal Methods;B1;24;
IFSA;International Fuzzy Systems Association World Congress;B1;26;
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;B1;14;
IGCC;International Green Computing Conference;B4;9;
IGIC;IEEE International Games Innovation Conference;B5;1;
IGIP;IGIP International Symposium on Engineering Education;B4;4;
IH;Information Hiding Workshop;B1;26;
IHC;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais;B4;10;
IHI;IHI ACM SIGHIT International Health Informatics Symposium;B4;6;
IITSI;International Symposium on Intelligent Information Technology and Security Informatics;B4;5;
IIWAS;Information Integration and Web'based Applications and Services;B3;12;
IJCAI;International Joint Conference on Artificial Intelligence;A1;90;
IJCAR;International Joint Conference on Automated Reasoning;B1;36;
IJCBS;International Joint Conference on Bioinformatics, Systems Biology and Intelligent Computing;B4;5;
IJCNLP;International Joint Conference on Natural Language Processing;B2;20;
IJCNN;IEEE International Joint Conference on Neural Networks;A2;46;
IKE;International Conference on Information and Knowledge Engineering;B4;10;
ILP;International Conference on Inductive Logic Programming;B1;27;
IM;IFIP/IEEE International Symposium on Integrated Network Management;B1;32;
IMAGAPP/IVAPP;International Conference on Imaging Theory and Applications and International Conference on Information Visualization Theory and Applications;B5;2;
IMC;ACM SIGCOMM Internet Measurement Conference;A1;93;
IMCSIT;International Multiconference on Computer Science and Information Technology;B4;10;
IMF;International Conference on IT Security Incident Management and IT Forensics;B4;5;
IMR;International Meshing Roundtable Conference;B1;28;
IMS;Advanced Information Management and Service;B4;4;
IMSA;International Conference on Internet and Multimedia Systems and Applications;B4;10;
IMS_A;IFAC Workshop on Intelligent Manufacturing Systems;B4;4;
INA'OCMC;Interconnection Network Architectures: On'Chip, Multi'Chip;B5;3;
INAP;Joint Conference on Application of Declarative Programming and Knowledge Management;B4;7;
InCoB;International Conference on Bioinformatics;B5;1;
INDIN;IEEE International Conference on Industrial Informatics;B3;12;
INDOCRYPT;International Conference on Cryptology in India;B1;30;
INEX;International Workshop of the Inititative for the Evaluation of XML Retrieval;B4;8;
INFOCOM;Annual Joint Conference of the IEEE Computer and Communications Societies;A1;204;
INFORMS;Joint International Meeting;B5;3;
